node, degree, weight, avg_degree_neigh, avg_weight_neigh
0, 15, 1.4666666666666667, 13.0666666666666667, 2.50634700582069002667
1, 6, 2.6666666666666667, 9.6666666666666667, 2.4750000000000000
10, 1, 2.0000000000000000, 3.0000000000000000, 1.33333333333333330000
102, 5, 7.0000000000000000, 11.2000000000000000, 3.7730994152046784
104, 16, 1.5000000000000000, 11.5000000000000000, 1.7994081541416100
106, 14, 1.7142857142857143, 12.7857142857142857, 1.86894073418841220000
107, 10, 2.1000000000000000, 10.5000000000000000, 1.62957013574660633000
110, 11, 1.7272727272727273, 13.3636363636363636, 1.64958265661590468182
111, 16, 3.5000000000000000, 16.3125000000000000, 3.64790295870532527500
112, 5, 1.00000000000000000000, 15.0000000000000000, 3.35409736462368038000
113, 17, 6.4117647058823529, 16.8823529411764706, 3.4530079145589308
114, 4, 5.0000000000000000, 14.5000000000000000, 3.8830409356725146
115, 6, 1.00000000000000000000, 10.5000000000000000, 1.26384998443821973333
118, 9, 1.00000000000000000000, 15.1111111111111111, 1.70880892614694828889
12, 11, 1.1818181818181818, 10.4545454545454545, 1.77897886427298192727
120, 7, 1.4285714285714286, 9.8571428571428571, 2.23809523809523808571
122, 11, 2.7272727272727273, 13.6363636363636364, 1.8297827090818929
123, 3, 1.3333333333333333, 9.6666666666666667, 1.8917378917378917
125, 12, 3.2500000000000000, 13.3333333333333333, 1.92154684840443354167
127, 7, 1.00000000000000000000, 18.2857142857142857, 4.1390658895137002
128, 16, 1.9375000000000000, 13.5000000000000000, 1.78731370189622898125
129, 14, 2.7142857142857143, 17.4285714285714286, 3.5060817727340572
130, 12, 3.2500000000000000, 12.8333333333333333, 1.86932611162487324167
133, 5, 1.00000000000000000000, 9.8000000000000000, 1.4094771241830065
135, 13, 1.6153846153846154, 16.6153846153846154, 3.9254223846329110
137, 15, 4.4666666666666667, 17.5333333333333333, 3.7573639962884814
142, 17, 3.6470588235294118, 17.1764705882352941, 3.69182677543661525294
147, 9, 1.7777777777777778, 14.4444444444444444, 2.0853149926937337
148, 14, 2.4285714285714286, 15.0000000000000000, 2.82070433228419305714
149, 4, 1.7500000000000000, 9.2500000000000000, 3.77777777777777777500
150, 16, 3.1250000000000000, 17.3750000000000000, 3.8480867822347370
151, 3, 1.00000000000000000000, 5.0000000000000000, 2.7222222222222222
16, 10, 1.2000000000000000, 13.2000000000000000, 2.0463363915066701
18, 4, 5.2500000000000000, 7.7500000000000000, 2.3734848484848485
19, 18, 6.4444444444444444, 16.8888888888888889, 3.4174161248531958
20, 6, 1.00000000000000000000, 14.6666666666666667, 1.5452105084458026
22, 17, 1.5294117647058824, 13.3529411764705882, 1.68760761057473859412
25, 12, 1.5000000000000000, 11.5833333333333333, 1.70484242673677658333
27, 16, 5.8125000000000000, 17.6250000000000000, 3.6006019549704980
28, 9, 1.3333333333333333, 8.5555555555555556, 1.60453845355806138889
3, 16, 1.2500000000000000, 12.1250000000000000, 1.69692512295066475000
32, 13, 2.2307692307692308, 13.9230769230769231, 1.7688659122095655
33, 16, 2.0625000000000000, 14.8750000000000000, 3.52841775640762297500
41, 2, 1.00000000000000000000, 12.5000000000000000, 1.22222222222222220000
42, 14, 1.2857142857142857, 12.3571428571428571, 1.84846521942110177143
43, 20, 1.8500000000000000, 13.8000000000000000, 2.33978135985101928500
45, 2, 1.5000000000000000, 8.5000000000000000, 1.6562500000000000
46, 6, 1.6666666666666667, 11.0000000000000000, 1.21808278867102395000
47, 15, 2.3333333333333333, 17.7333333333333333, 3.6998708762334418
48, 5, 2.4000000000000000, 13.6000000000000000, 1.94620147654203382000
49, 9, 3.8888888888888889, 9.7777777777777778, 2.75372807017543860000
5, 16, 2.8750000000000000, 12.4375000000000000, 2.48291077794754264375
50, 16, 2.0625000000000000, 17.0625000000000000, 3.43278347341120762500
55, 7, 1.8571428571428571, 11.0000000000000000, 1.81886863136863137143
57, 12, 2.0833333333333333, 17.1666666666666667, 3.7100589992428564
58, 10, 1.1000000000000000, 16.0000000000000000, 3.1151619309557794
59, 21, 5.6666666666666667, 16.3809523809523810, 3.1570996085870228
65, 10, 1.7000000000000000, 14.9000000000000000, 1.67803298576955863000
66, 3, 4.3333333333333333, 7.0000000000000000, 2.08730158730158730000
70, 17, 4.5294117647058824, 17.2352941176470588, 3.5950130499464192
73, 16, 1.1250000000000000, 13.3125000000000000, 1.87314312826873398750
74, 16, 4.5000000000000000, 17.4375000000000000, 3.7633593386257145
77, 3, 1.00000000000000000000, 10.3333333333333333, 2.1281045751633987
78, 8, 1.1250000000000000, 12.2500000000000000, 2.1921112169564182
79, 3, 1.6666666666666667, 14.6666666666666667, 1.4531590413943355
8, 8, 1.1250000000000000, 14.0000000000000000, 2.74262955182072831250
81, 10, 1.1000000000000000, 12.8000000000000000, 1.59986896273660979000
86, 10, 1.3000000000000000, 8.2000000000000000, 2.50383838383838384000
87, 16, 1.3125000000000000, 14.3750000000000000, 1.73217592708933651875
88, 21, 5.3809523809523810, 15.8571428571428571, 3.05569405986280974286
9, 5, 2.4000000000000000, 9.4000000000000000, 2.8492063492063492
91, 3, 1.00000000000000000000, 14.6666666666666667, 1.5169144580909287
92, 17, 1.5882352941176471, 11.9411764705882353, 2.0328733247512396
93, 3, 1.00000000000000000000, 13.3333333333333333, 3.5373015873015873
95, 22, 2.6818181818181818, 14.9090909090909091, 3.23765395349092225455
96, 10, 1.7000000000000000, 13.6000000000000000, 1.4749112978524743
98, 20, 1.8500000000000000, 12.0000000000000000, 1.9530349017597470
