node, degree, weight, avg_degree_neigh, avg_weight_neigh
0, 24, 1.5416666666666667, 23.8750000000000000, 2.2959525355323103
1, 12, 2.7500000000000000, 17.5000000000000000, 2.0453285480859010
10, 2, 2.0000000000000000, 5.0000000000000000, 1.40000000000000000000
102, 14, 5.2857142857142857, 19.8571428571428571, 3.0938865019692087
104, 34, 1.4705882352941176, 24.4411764705882353, 2.01165634227991788235
106, 25, 1.7600000000000000, 25.9200000000000000, 1.98077873877168534400
107, 27, 1.7037037037037037, 22.5925925925925926, 1.69451190152417325926
110, 18, 1.8333333333333333, 25.9444444444444444, 1.6304251757573407
111, 33, 3.9393939393939394, 32.3333333333333333, 3.72133104731261667273
112, 6, 1.00000000000000000000, 31.0000000000000000, 3.20716878402903811667
113, 38, 5.6315789473684211, 30.4210526315789474, 3.54576438857076210263
114, 8, 5.5000000000000000, 22.3750000000000000, 3.8551378446115288
115, 11, 1.0909090909090909, 20.8181818181818182, 1.26625587526586682727
118, 16, 1.0625000000000000, 26.6250000000000000, 1.5641767417062335
12, 28, 1.1428571428571429, 23.3928571428571429, 1.66769055153786468929
120, 16, 1.4375000000000000, 18.0625000000000000, 2.2711112339672711
122, 23, 2.3913043478260870, 27.3913043478260870, 1.8861223923372261
123, 15, 1.1333333333333333, 23.0666666666666667, 1.9352016428521117
125, 26, 2.8461538461538462, 26.0384615384615385, 1.8489894371025516
127, 9, 1.00000000000000000000, 31.3333333333333333, 3.64439690210115486667
128, 30, 1.9000000000000000, 25.6000000000000000, 1.87392115731820725000
129, 28, 2.7500000000000000, 33.9642857142857143, 3.4637436137290071
130, 24, 3.3750000000000000, 25.9166666666666667, 1.8426592858234932
133, 12, 1.00000000000000000000, 20.9166666666666667, 1.5954172914957229
135, 27, 1.5555555555555556, 33.1851851851851852, 4.0479120662988251
137, 31, 4.5161290322580645, 33.3548387096774194, 3.79722624041204608065
142, 33, 3.2727272727272727, 33.2121212121212121, 3.7014529935079778
147, 22, 1.7727272727272727, 25.9090909090909091, 2.01985535303949626818
148, 29, 2.4482758620689655, 31.6551724137931034, 3.06335810482879343793
149, 7, 1.7142857142857143, 17.8571428571428571, 3.8572894675111424
150, 31, 3.0967741935483871, 34.0000000000000000, 3.9127328905988068
151, 4, 1.00000000000000000000, 8.2500000000000000, 3.2638888888888889
16, 19, 1.1578947368421053, 26.0526315789473684, 1.8875696502183385
18, 10, 4.1000000000000000, 15.7000000000000000, 2.02579365079365082000
19, 40, 6.1250000000000000, 31.4750000000000000, 3.30074836655816128250
20, 16, 1.1250000000000000, 25.8750000000000000, 1.7636922104132341
22, 34, 1.3235294117647059, 26.5294117647058824, 1.77305627793483017647
25, 25, 1.6000000000000000, 23.2800000000000000, 1.8207915856073751
27, 33, 5.2121212121212121, 33.8181818181818182, 3.6134910587792850
28, 17, 1.2941176470588235, 20.2352941176470588, 1.7008866082318095
3, 33, 1.3030303030303030, 22.7878787878787879, 1.62111957062492631212
32, 25, 2.5200000000000000, 27.1200000000000000, 1.8951333700021680
33, 30, 2.0000000000000000, 28.7000000000000000, 3.64417871937160351333
41, 9, 1.1111111111111111, 25.3333333333333333, 1.8253198011711944
42, 29, 1.1379310344827586, 23.4482758620689655, 1.9321621253106013
43, 33, 2.0000000000000000, 26.4545454545454545, 2.2260402734493215
45, 5, 1.4000000000000000, 9.8000000000000000, 1.50882352941176470000
46, 11, 1.7272727272727273, 19.8181818181818182, 1.50856373432365550909
47, 24, 2.4583333333333333, 32.2083333333333333, 3.20240131913218255417
48, 12, 2.1666666666666667, 24.1666666666666667, 2.0719872598162072
49, 18, 3.8333333333333333, 18.3888888888888889, 2.86011999696210223333
5, 35, 2.6285714285714286, 24.4571428571428571, 2.4351680326602264
50, 31, 2.1612903225806452, 34.1935483870967742, 3.6548584636181612
55, 12, 2.1666666666666667, 20.2500000000000000, 1.9230021893814997
57, 24, 2.1250000000000000, 33.5000000000000000, 3.8740356305131908
58, 14, 1.1428571428571429, 32.1428571428571429, 3.2061952297577734
59, 40, 5.8750000000000000, 31.4500000000000000, 3.28820299450734458750
65, 17, 1.8235294117647059, 27.8235294117647059, 1.6882558377684415
66, 9, 3.7777777777777778, 16.2222222222222222, 1.96559022076263455556
70, 38, 4.2894736842105263, 31.9736842105263158, 3.47422188785131166053
73, 30, 1.2666666666666667, 26.5666666666666667, 1.98952157661957754333
74, 35, 4.0571428571428571, 32.9428571428571429, 3.63398452776715031143
77, 6, 1.00000000000000000000, 25.5000000000000000, 1.6698665223665224
78, 15, 1.0666666666666667, 23.1333333333333333, 1.9288216957334605
79, 6, 1.6666666666666667, 26.3333333333333333, 1.6079554141344647
8, 24, 1.2500000000000000, 27.5833333333333333, 2.5416068625963224
81, 17, 1.0588235294117647, 24.1764705882352941, 1.4401723421364496
86, 14, 1.2857142857142857, 17.9285714285714286, 2.45457264878123058571
87, 33, 1.5151515151515152, 28.0303030303030303, 1.86708527249929291515
88, 41, 5.3658536585365854, 30.6829268292682927, 3.19192851537178386585
9, 10, 2.5000000000000000, 19.9000000000000000, 2.4073973536783134
91, 4, 1.00000000000000000000, 28.7500000000000000, 1.4022727272727273
92, 28, 1.6428571428571429, 24.5714285714285714, 2.0686647100360612
93, 7, 1.00000000000000000000, 32.8571428571428571, 3.6847604969556189
95, 45, 3.0222222222222222, 29.7555555555555556, 3.24731502278974228444
96, 15, 2.0000000000000000, 26.2666666666666667, 1.44191699291802490667
98, 38, 1.8947368421052632, 23.6315789473684211, 1.88962893106560264474
