comm, ce, te, cp, comm, nodes, edges, stops_as_trajectories, stops_as_users, pois, poi_types, avg_distance, moves_as_trajectories, moves_as_users, avg_stop_time, avg_move_time
38, 1, 1, 1.00000000000000000000, 38, 2, 1, 185, 112, 12, 6, 10.1986975960237, 1, 1, 5.85195647955420597008, 1.25138944447041
39, 1, 1, 1.00000000000000000000, 39, 2, 1, 313, 174, 10, 7, 8.03509578151238, 1, 1, 6.42857419974825600757, 2.37500055551529
4, 1, 1, 1.00000000000000000000, 4, 2, 1, 126, 97, 6, 4, 2.10379646133761, 1, 1, 5.05562474094443752238, 0.825001111096806
40, 1, 2, 0.50000000000000000000, 40, 2, 1, 212, 171, 10, 5, 4.01540583470938, 1, 1, 5.05998067927852885511, 0.551666944424311
41, 2, 2, 1.00000000000000000000, 41, 2, 2, 213, 145, 7, 4, 12.3232638102849, 1, 1, 7.11777386888227513373, 1.09027833332618
42, 1, 2, 0.50000000000000000000, 42, 2, 1, 148, 125, 6, 5, 3.59145342037696, 1, 1, 6.63940988399907224981, 0.699444722202089
43, 6, 13, 0.46153846153846153846, 43, 4, 6, 176, 127, 15, 7, 0.286388547560658, 15, 12, 6.79389507117622523159, 0.61563393728032
44, 1, 4, 0.25000000000000000000, 44, 2, 1, 167, 105, 9, 5, 6.93909665666933, 1, 1, 6.62343575300965631138, 0.679444999959734
45, 1, 1, 1.00000000000000000000, 45, 2, 1, 125, 99, 8, 6, 2.47403341900408, 1, 1, 4.52816656610143970642, 0.711945000025961
46, 1, 1, 1.00000000000000000000, 46, 2, 1, 124, 84, 9, 7, 0.94720918499041, 1, 1, 5.04319984918044387869, 0.163889166646534
47, 2, 2, 1.00000000000000000000, 47, 3, 2, 203, 155, 11, 8, 2.61838589722431, 1, 1, 6.52917863598781500578, 0.151944999959734
48, 1, 1, 1.00000000000000000000, 48, 2, 1, 127, 107, 7, 6, 0.841460055957644, 1, 1, 5.63202014834681484197, 0.0936113888687558
49, 2, 3, 0.66666666666666666667, 49, 3, 2, 180, 129, 11, 7, 2.95675415937299, 1, 1, 4.68846929589807796907, 0.316666944424311
5, 1, 1, 1.00000000000000000000, 5, 2, 1, 131, 104, 7, 4, 1.41017347540558, 1, 1, 6.33633484213201194795, 0.00888972222805023
50, 1, 1, 1.00000000000000000000, 50, 2, 1, 280, 211, 6, 4, 7.90698389915636, 1, 1, 5.56480209569531537034, 0.589170277780957
51, 2, 2, 1.00000000000000000000, 51, 2, 2, 246, 169, 11, 6, 7.47469813086372, 1, 1, 5.95151429563738757192, 2.1222226388918
52, 1, 2, 0.50000000000000000000, 52, 2, 1, 236, 195, 10, 5, 4.1214396813587, 1, 1, 4.71813044690242310741, 0.551666944424311
53, 1, 1, 1.00000000000000000000, 53, 2, 1, 147, 98, 7, 3, 3.35828804855495, 1, 1, 6.84937132254833857034, 0.495833888848623
54, 2, 2, 1.00000000000000000000, 54, 2, 2, 214, 158, 9, 6, 3.87017336836743, 1, 1, 7.27358465255157437525, 1.51888944443729
55, 1, 1, 1.00000000000000000000, 55, 2, 1, 149, 108, 8, 5, 2.16080523655392, 1, 1, 6.57566634977048816128, 0.278056111070845
56, 1, 4, 0.25000000000000000000, 56, 2, 1, 162, 102, 10, 4, 6.84890616214066, 1, 1, 6.04805156386627468743, 0.679444999959734
57, 2, 2, 1.00000000000000000000, 57, 2, 2, 171, 124, 12, 6, 0.216522246199482, 9, 8, 6.29039867452969394587, 1.32185806299545
58, 1, 1, 1.00000000000000000000, 58, 2, 1, 102, 75, 8, 7, 7.84507828670912, 1, 1, 8.10271760474239248077, 0.413333611157205
59, 1, 1, 1.00000000000000000000, 59, 2, 1, 202, 141, 6, 4, 11.5683406607428, 1, 1, 6.79082192412895687383, 0.854723055561384
6, 13, 19, 0.68421052631578947368, 6, 10, 13, 793, 582, 40, 9, 2.06905741466941, 12, 11, 6.00860393496756498883, 0.912329658122144
60, 2, 4, 0.50000000000000000000, 60, 3, 2, 221, 187, 13, 6, 2.38731505391684, 1, 1, 5.51575524524524524682, 2.19000083333916
61, 2, 8, 0.25000000000000000000, 61, 2, 2, 137, 105, 8, 6, 4.76090541678063, 2, 1, 5.66549032780636554472, 0.685764444470406
62, 2, 7, 0.28571428571428571429, 62, 2, 2, 162, 111, 7, 5, 5.93015660927082, 1, 1, 6.60313609891978098619, 0.36541708331969
63, 4, 8, 0.50000000000000000000, 63, 5, 4, 501, 283, 16, 8, 6.95598325203345, 4, 4, 6.34859150032077035553, 0.674444791691171
64, 1, 1, 1.00000000000000000000, 64, 2, 1, 119, 91, 7, 3, 14.6399124627318, 1, 1, 6.76120220413548263053, 2.99750083333916
65, 2, 3, 0.66666666666666666667, 65, 2, 2, 304, 194, 6, 5, 6.59922596723627, 1, 1, 9.00716736017845368943, 2.2650009722511
66, 9, 12, 0.75000000000000000000, 66, 9, 9, 767, 543, 37, 11, 1.88099302351271, 8, 7, 4.33495272812293955711, 0.685586975301489
67, 1, 1, 1.00000000000000000000, 67, 2, 1, 101, 71, 8, 6, 1.19216670222685, 1, 1, 5.77313257303496581730, 0.0963891667127609
68, 1, 1, 1.00000000000000000000, 68, 2, 1, 157, 122, 14, 6, 1.03830896936313, 1, 1, 4.88704359230554083363, 0.263056111137072
69, 3, 6, 0.50000000000000000000, 69, 4, 3, 298, 240, 17, 7, 1.97121180935679, 2, 2, 5.15677006833191012796, 1.48963027777495
7, 1, 1, 1.00000000000000000000, 7, 2, 1, 201, 152, 11, 7, 1.41799885149638, 1, 1, 5.96215979199364159675, 2.7775764465332e-07
70, 3, 6, 0.50000000000000000000, 70, 4, 3, 204, 156, 16, 9, 1.86381535215396, 1, 1, 3.02462214183533492827, 0.2936116666264
71, 1, 1, 1.00000000000000000000, 71, 2, 1, 228, 160, 10, 7, 7.97534102581849, 1, 1, 6.97950392991707911281, 2.98527805560165
72, 259, 273, 0.94871794871794871795, 72, 20, 259, 1393, 680, 82, 12, 1.14635478132835, 258, 158, 7.21303407295883016192, 0.820263536523437
73, 2, 6, 0.33333333333333333333, 73, 2, 2, 201, 139, 11, 5, 10.2211102844649, 1, 1, 6.58245185688565134093, 2.63486152778069
