node, degree, weight, avg_degree_neigh, avg_weight_neigh
0, 14, 34, 10.2142857142857143, 62.4285714285714286
1, 6, 25, 7.8333333333333333, 34.0000000000000000
10, 1, 7, 2.0000000000000000, 7.0000000000000000
102, 5, 80, 7.2000000000000000, 45.6000000000000000
104, 13, 17, 9.0769230769230769, 26.4615384615384615
106, 15, 53, 9.8000000000000000, 39.3333333333333333
107, 9, 17, 8.3333333333333333, 17.5555555555555556
110, 10, 30, 11.5000000000000000, 27.2000000000000000
111, 13, 54, 14.7692307692307692, 101.0769230769230769
112, 3, 3, 10.0000000000000000, 34.0000000000000000
113, 14, 158, 14.5000000000000000, 93.3571428571428571
114, 2, 55, 6.0000000000000000, 73.0000000000000000
115, 3, 3, 10.6666666666666667, 24.6666666666666667
118, 8, 9, 10.3750000000000000, 23.3750000000000000
12, 10, 15, 9.6000000000000000, 17.9000000000000000
120, 7, 10, 7.8571428571428571, 38.0000000000000000
122, 7, 53, 11.5714285714285714, 37.7142857142857143
123, 6, 7, 12.0000000000000000, 64.8333333333333333
125, 11, 88, 11.5454545454545455, 46.9090909090909091
127, 6, 6, 14.1666666666666667, 84.8333333333333333
128, 11, 47, 8.9090909090909091, 34.7272727272727273
129, 13, 43, 14.6923076923076923, 88.0769230769230769
130, 11, 90, 11.3636363636363636, 48.3636363636363636
133, 4, 4, 6.7500000000000000, 8.7500000000000000
135, 12, 24, 14.5000000000000000, 106.7500000000000000
137, 12, 72, 14.1666666666666667, 100.5833333333333333
142, 12, 71, 14.8333333333333333, 95.2500000000000000
147, 9, 35, 12.7777777777777778, 55.7777777777777778
148, 12, 41, 13.9166666666666667, 72.6666666666666667
149, 4, 6, 6.5000000000000000, 53.7500000000000000
150, 15, 69, 14.7333333333333333, 101.6666666666666667
151, 2, 2, 3.0000000000000000, 13.5000000000000000
16, 8, 8, 12.2500000000000000, 60.3750000000000000
18, 4, 16, 9.0000000000000000, 27.5000000000000000
19, 18, 211, 14.0000000000000000, 82.7777777777777778
20, 4, 4, 11.7500000000000000, 35.5000000000000000
22, 17, 22, 10.1176470588235294, 30.5294117647058824
25, 9, 23, 10.0000000000000000, 38.6666666666666667
27, 14, 138, 15.0000000000000000, 97.0000000000000000
28, 11, 11, 6.1818181818181818, 13.2727272727272727
3, 15, 21, 9.2666666666666667, 37.6666666666666667
32, 11, 57, 12.0000000000000000, 50.2727272727272727
33, 13, 23, 13.9230769230769231, 107.0769230769230769
41, 2, 2, 12.0000000000000000, 15.0000000000000000
42, 12, 14, 9.5454545454545455, 32.4545454545454545
43, 17, 78, 11.8235294117647059, 64.0588235294117647
45, 2, 7, 2.5000000000000000, 6.5000000000000000
46, 4, 7, 9.7500000000000000, 12.2500000000000000
47, 8, 29, 15.3750000000000000, 104.8750000000000000
48, 4, 13, 9.7500000000000000, 33.7500000000000000
49, 7, 66, 6.0000000000000000, 36.0000000000000000
5, 16, 93, 9.6875000000000000, 47.1875000000000000
50, 14, 41, 14.7142857142857143, 95.5714285714285714
55, 7, 26, 8.5714285714285714, 20.7142857142857143
57, 12, 24, 13.9166666666666667, 103.0000000000000000
58, 8, 9, 13.2500000000000000, 89.5000000000000000
59, 15, 140, 13.0000000000000000, 88.3333333333333333
65, 8, 25, 12.6250000000000000, 30.1250000000000000
66, 2, 11, 3.0000000000000000, 9.0000000000000000
70, 16, 161, 14.5625000000000000, 91.0000000000000000
73, 11, 14, 11.0909090909090909, 50.9090909090909091
74, 16, 131, 14.5625000000000000, 92.8750000000000000
77, 2, 2, 9.0000000000000000, 13.5000000000000000
78, 4, 4, 12.5000000000000000, 36.2500000000000000
79, 3, 4, 9.6666666666666667, 14.6666666666666667
8, 4, 6, 9.5000000000000000, 15.7500000000000000
81, 11, 13, 10.6363636363636364, 24.7272727272727273
86, 7, 8, 7.4285714285714286, 37.1428571428571429
87, 12, 20, 12.8333333333333333, 39.6666666666666667
88, 20, 170, 13.0500000000000000, 74.4000000000000000
9, 4, 20, 7.2500000000000000, 54.5000000000000000
91, 3, 3, 11.6666666666666667, 23.3333333333333333
92, 13, 39, 10.2307692307692308, 32.0769230769230769
93, 3, 3, 8.3333333333333333, 16.0000000000000000
95, 20, 70, 13.3000000000000000, 83.0500000000000000
96, 8, 12, 9.5000000000000000, 21.2500000000000000
98, 13, 49, 8.7692307692307692, 31.7692307692307692
