source, target, st_distance, weight, users
150, 95, 581.818384831907, 3, 3
150, 70, 558.467217775214, 1, 1
150, 74, 388.545652201286, 2, 2
150, 58, 3428.02158177146, 2, 2
150, 27, 961.934135202511, 2, 2
150, 88, 945.373178834754, 3, 3
150, 59, 548.627161598012, 4, 4
150, 113, 870.81542978817, 3, 3
150, 111, 239.558509666216, 5, 5
150, 148, 1098.96955396598, 3, 3
150, 137, 762.066923034114, 1, 1
150, 135, 271.505170631611, 2, 2
150, 142, 131.49140440674, 11, 11
150, 50, 419.092967498969, 1, 1
150, 19, 420.056789177319, 3, 3
27, 95, 1517.46082530459, 2, 2
27, 57, 2290.95532106368, 4, 2
27, 70, 605.997523946589, 2, 2
27, 74, 757.400256665613, 1, 1
27, 150, 961.934135202511, 1, 1
27, 8, 9737.23275802868, 1, 1
27, 88, 79.1027463729589, 22, 17
27, 59, 462.653007118979, 5, 5
27, 47, 2468.6360465114, 1, 1
27, 113, 99.6369968358909, 20, 15
27, 111, 933.683626764274, 2, 2
27, 33, 1299.13707572057, 2, 2
27, 137, 201.820098269497, 9, 9
27, 135, 725.543791901584, 1, 1
27, 142, 1086.31732879204, 2, 2
27, 50, 1325.56619523248, 1, 1
27, 19, 627.085764181222, 3, 3
9, 28, 362.767415964263, 2, 2
9, 86, 5659.76899002533, 1, 1
9, 1, 93.3929267591999, 8, 6
9, 92, 2474.03341900408, 1, 1
9, 98, 916.14609890766, 1, 1
149, 102, 824.382762283507, 2, 2
149, 57, 14639.9124627318, 1, 1
149, 49, 632.408574978338, 2, 2
12, 77, 6146.49933685107, 1, 1
12, 95, 6017.58893661773, 1, 1
12, 87, 1717.01868879298, 1, 1
12, 78, 733.960186255173, 1, 1
12, 25, 1417.99885149637, 1, 1
12, 22, 930.415166961919, 1, 1
12, 28, 4760.90541678063, 1, 1
12, 16, 1726.42756262859, 2, 2
12, 47, 7098.98818745902, 1, 1
12, 48, 1410.17347540558, 1, 1
12, 148, 5832.33146038068, 1, 1
12, 147, 2307.17885101653, 2, 2
12, 50, 6080.47548255273, 1, 1
12, 104, 4891.6019336357, 1, 1
12, 73, 1983.83998844274, 1, 1
12, 42, 1299.27797336564, 1, 1
12, 20, 1950.80702533858, 1, 1
78, 120, 5438.61732755702, 1, 1
78, 25, 768.108487106573, 1, 1
78, 22, 1191.55303842063, 1, 1
78, 28, 4728.59189689258, 1, 1
78, 48, 841.460055957644, 1, 1
78, 43, 2861.10752418839, 1, 1
78, 73, 1282.50318145649, 1, 1
25, 65, 3258.68815046273, 1, 1
25, 78, 768.108487106573, 1, 1
25, 22, 1419.2037607201, 1, 1
25, 16, 655.402716852413, 2, 2
25, 59, 7848.60923831413, 1, 1
25, 48, 216.522246199482, 8, 7
25, 110, 3317.87808719057, 1, 1
25, 0, 1988.84022061214, 1, 1
25, 3, 4088.32520939296, 1, 1
25, 104, 5042.38621020269, 1, 1
25, 73, 592.800259043505, 2, 2
25, 55, 2086.35423308312, 1, 1
25, 92, 2161.6733962165, 1, 1
91, 73, 9361.12062640593, 1, 1
8, 81, 1559.25147220457, 1, 1
8, 70, 9754.81822864206, 1, 1
8, 87, 3353.46312119026, 1, 1
8, 25, 2028.80435585076, 1, 1
8, 22, 2014.30460079129, 1, 1
8, 45, 5956.05510128582, 1, 1
8, 128, 1744.68322100359, 2, 2
8, 59, 9641.86894682169, 1, 1
8, 118, 1535.25309428359, 1, 1
8, 49, 7870.80350762414, 1, 1
8, 104, 3475.15404040481, 2, 2
8, 42, 1728.20601864004, 2, 1
8, 55, 418.313205947017, 1, 1
8, 19, 9604.1447235239, 1, 1
8, 92, 416.736622289572, 2, 2
8, 98, 1832.99364869372, 2, 2
133, 22, 4298.14947793489, 1, 1
133, 46, 1511.01848643145, 1, 1
133, 115, 2057.0513302759, 1, 1
133, 86, 2037.07043970713, 1, 1
133, 3, 1509.00796741681, 1, 1
133, 49, 3373.51436067377, 1, 1
133, 107, 1323.64201322825, 1, 1
22, 81, 3264.90046580111, 1, 1
22, 129, 7830.28182872522, 2, 2
22, 87, 1581.29312825561, 2, 2
22, 58, 4084.63323051134, 1, 1
22, 12, 930.415166961919, 1, 1
22, 88, 7906.98389915637, 1, 1
22, 106, 2128.47803000415, 1, 1
22, 118, 3348.238582468, 1, 1
22, 148, 6631.29999837013, 1, 1
22, 32, 1965.45505163645, 1, 1
22, 43, 1950.05664827738, 1, 1
22, 3, 2794.29852214439, 1, 1
22, 96, 3696.62492684983, 1, 1
22, 73, 1992.18354708358, 1, 1
22, 42, 369.338263312125, 1, 1
22, 107, 3428.7406383979, 1, 1
22, 98, 3278.88826729405, 1, 1
88, 95, 1510.9774165592, 3, 3
88, 57, 2329.61131973471, 4, 2
88, 70, 550.651884135163, 3, 3
88, 129, 2222.03231545704, 1, 1
88, 127, 731.177706659809, 1, 1
88, 74, 712.935377671965, 1, 1
88, 150, 945.373178834754, 1, 1
88, 27, 79.1027463729589, 26, 21
88, 8, 9791.09414109625, 1, 1
88, 59, 423.495709227444, 9, 9
88, 47, 2415.49928154289, 2, 2
88, 113, 135.803154160623, 28, 21
88, 93, 1632.71967245324, 1, 1
88, 111, 898.230139256987, 1, 1
88, 33, 1345.15049976662, 3, 3
88, 137, 187.856144222295, 14, 13
88, 135, 722.63921048415, 1, 1
88, 142, 1072.65350720195, 2, 2
88, 50, 1322.66388789305, 1, 1
88, 19, 587.520830138754, 4, 4
45, 151, 7621.21071955468, 1, 1
45, 28, 7845.07828670912, 1, 1
45, 10, 142.164710304284, 2, 2
5, 102, 5930.15660927082, 1, 1
5, 87, 412.405235635499, 2, 2
5, 78, 2572.32054307158, 1, 1
5, 25, 2991.39514065843, 2, 2
5, 122, 606.820740758573, 1, 1
5, 128, 3689.54258320736, 1, 1
5, 106, 583.493706092263, 1, 1
5, 16, 3509.95883910328, 1, 1
5, 48, 2862.66172436423, 1, 1
5, 125, 134.101570293364, 10, 8
5, 32, 505.565985945371, 2, 2
5, 147, 427.690524564058, 2, 2
5, 43, 393.740009778728, 2, 2
5, 3, 1934.71789149043, 2, 2
5, 49, 6066.69398018005, 1, 1
5, 130, 117.995904394844, 13, 10
5, 73, 3574.93725294135, 1, 1
5, 114, 5854.23023273869, 1, 1
5, 98, 3706.30135731181, 1, 1
28, 120, 727.888396022475, 1, 1
28, 12, 4760.90541678063, 1, 1
