id,label,avg_time,indegree,outdegree,degree,clustering,triangles,pageranks,eccentricity,closnesscentrality,betweenesscentrality,authority,hub,componentnumber,strongcompnum
93,cluster_93,1.20212538226299694200,2,0,2,0,0,0.0048609410240473,0,0,0,0.0049261083,0,0,0
138,cluster_138,1.47722530864197530728,0,1,1,0,0,0.00223747160971467,6,0.277992277992278,0,0,0.0016891892,0,6
28,cluster_28,1.28871921921921922168,9,5,14,0.0984848484848485,13,0.0224470017917351,5,0.338095238095238,0.0428798215678941,0.01642036,0.015202703,0,5
43,cluster_43,1.26258903133903133800,13,10,23,0.1875,45,0.0250437964085013,4,0.425149700598802,0.0848590216558011,0.022988506,0.02364865,0,5
110,cluster_110,1.02916666666666666730,8,3,11,0.177777777777778,16,0.020804979227156,4,0.348039215686274,0.03065416258313,0.014778325,0.015202703,0,5
79,cluster_79,0.78470940170940170667,2,1,3,0,0,0.0071830933161533,6,0.272030651340996,0.00153576582148011,0.0049261083,0.0050675673,0,5
8,cluster_8,1.17828089151098000606,3,11,14,0.217948717948718,34,0.0105443261230006,4,0.461038961038961,0.0370043036741892,0.0065681445,0.006756757,0,5
10,cluster_10,1.65210648148148148056,1,0,1,0,0,0.00318841366425711,0,0,0,0.0032840723,0,0,7
42,cluster_42,1.22402618135376756324,9,8,17,0.148351648351648,27,0.0198372292454302,5,0.379679144385027,0.0416008673267637,0.01642036,0.015202703,0,5
86,cluster_86,1.35581128747795414121,6,3,9,0.142857142857143,8,0.0133277808070048,5,0.287449392712551,0.0302635968726032,0.011494253,0.011824325,0,5
55,cluster_55,0.83501493428912783716,7,3,10,0.285714285714286,16,0.0115514377427624,5,0.31981981981982,0.00344712138153797,0.013136289,0.013513514,0,5
112,cluster_112,1.21906165311653116301,3,0,3,0.333333333333333,2,0.00773996498469806,0,0,0,0.0065681445,0,0,1
74,cluster_74,1.42554929929929929895,14,13,27,0.747252747252747,136,0.0195145081843112,5,0.339712918660287,0.00311687911067235,0.024630541,0.025337838,0,5
77,cluster_77,1.39385033298282509664,1,2,3,0.333333333333333,2,0.0033497089982626,5,0.307359307359307,0.000377223975993627,0.0032840723,0.0033783785,0,5
46,cluster_46,1.40535381750465549659,2,1,3,0.166666666666667,1,0.00683213630392672,5,0.297071129707113,0.000989566843121184,0.0049261083,0.0050675673,0,5
41,cluster_41,1.52564318783068782487,1,3,4,0.333333333333333,4,0.00478732234197091,5,0.328703703703704,0.00162211193909759,0.0032840723,0.0033783785,0,5
