node, degree, weight, avg_degree_neigh, avg_weight_neigh
0, 9, 1.6666666666666667, 11.4444444444444444, 1.8759294626941686
1, 6, 2.8333333333333333, 8.5000000000000000, 1.44062049062049061667
10, 1, 2.0000000000000000, 2.0000000000000000, 1.50000000000000000000
102, 9, 4.3333333333333333, 10.0000000000000000, 2.6297839506172840
104, 18, 1.4444444444444444, 12.5555555555555556, 2.31318925718435523333
106, 11, 1.8181818181818182, 14.4545454545454545, 2.09090488388616731818
107, 17, 1.4705882352941176, 12.3529411764705882, 1.76245246487461021765
110, 7, 2.0000000000000000, 12.5714285714285714, 1.6790552584670232
111, 17, 4.3529411764705882, 16.1764705882352941, 3.81296227801418113529
112, 1, 1.00000000000000000000, 14.0000000000000000, 2.4285714285714286
113, 21, 5.0000000000000000, 13.8571428571428571, 3.68054907277596353810
114, 4, 6.0000000000000000, 8.5000000000000000, 3.8784722222222222
115, 5, 1.2000000000000000, 9.6000000000000000, 1.30969696969696970000
118, 7, 1.1428571428571429, 12.1428571428571429, 1.37510458728946124286
12, 17, 1.1176470588235294, 12.2352941176470588, 1.62323294736789546471
120, 9, 1.4444444444444444, 9.0000000000000000, 2.3141414141414141
122, 12, 2.0833333333333333, 14.5000000000000000, 1.97495555914673562500
123, 12, 1.0833333333333333, 12.4166666666666667, 1.9860282079032079
125, 14, 2.5000000000000000, 13.9285714285714286, 1.7500152625152625
127, 2, 1.00000000000000000000, 10.5000000000000000, 1.53125000000000000000
128, 14, 1.8571428571428571, 13.7857142857142857, 1.86660914365746299286
129, 14, 2.7857142857142857, 16.5714285714285714, 3.4509539946514737
130, 12, 3.5000000000000000, 13.5833333333333333, 1.8578703703703704
133, 7, 1.00000000000000000000, 10.5714285714285714, 1.81928104575163400000
135, 14, 1.5000000000000000, 16.5000000000000000, 4.2269941309857276
137, 16, 4.5625000000000000, 16.3125000000000000, 3.86831683430948136875
142, 16, 2.8750000000000000, 16.2500000000000000, 3.7297300534432887
147, 13, 1.7692307692307692, 12.5384615384615385, 2.03539021310514523846
148, 15, 2.4666666666666667, 16.2000000000000000, 3.2955116071292542
149, 3, 1.6666666666666667, 8.6666666666666667, 4.3240740740740741
150, 15, 3.0666666666666667, 16.6000000000000000, 4.0165159785748021
151, 1, 1.00000000000000000000, 3.0000000000000000, 4.3333333333333333
16, 9, 1.1111111111111111, 14.0000000000000000, 1.6671296296296296
18, 6, 3.3333333333333333, 8.0000000000000000, 1.87422969187675070000
19, 22, 5.8636363636363636, 15.6363636363636364, 3.20174610371802885909
20, 10, 1.2000000000000000, 12.6000000000000000, 1.8489860139860140
22, 17, 1.1176470588235294, 14.0000000000000000, 1.84258217272923155882
25, 13, 1.6923076923076923, 13.0000000000000000, 1.8565689212748036
27, 17, 4.6470588235294118, 16.2352941176470588, 3.6256373480421923
28, 8, 1.2500000000000000, 12.8750000000000000, 1.8008274711399712
3, 17, 1.3529411764705882, 11.0000000000000000, 1.54369935139831334118
32, 12, 2.8333333333333333, 13.8333333333333333, 2.0283182843844609
33, 14, 1.9285714285714286, 13.3571428571428571, 3.85077796270023160714
41, 7, 1.1428571428571429, 12.7142857142857143, 1.98273809523809524286
42, 15, 1.00000000000000000000, 12.0666666666666667, 2.01154273830744419333
43, 13, 2.2307692307692308, 12.7692307692307692, 2.0798912186355625
45, 3, 1.3333333333333333, 4.3333333333333333, 1.44444444444444443333
46, 5, 1.8000000000000000, 10.0000000000000000, 1.83777777777777778000
47, 9, 2.6666666666666667, 14.3333333333333333, 2.28448144992262640000
48, 7, 2.0000000000000000, 12.8571428571428571, 2.0576730692276911
49, 9, 3.7777777777777778, 9.5555555555555556, 2.9754629629629630
5, 19, 2.4210526315789474, 12.0000000000000000, 2.4415260178418073
50, 15, 2.2666666666666667, 16.8666666666666667, 3.9702469371587019
55, 5, 2.6000000000000000, 10.8000000000000000, 2.1459803921568628
57, 12, 2.1666666666666667, 16.9166666666666667, 3.9458949683214389
58, 4, 1.2500000000000000, 16.7500000000000000, 3.2023809523809524
59, 19, 6.1052631578947368, 15.7894736842105263, 3.43355898057910442105
65, 7, 2.0000000000000000, 14.0000000000000000, 1.7067608861726509
66, 6, 3.5000000000000000, 9.1666666666666667, 2.00386904761904761667
70, 21, 4.0952380952380952, 15.9047619047619048, 3.36847915934050388095
73, 14, 1.4285714285714286, 13.7142857142857143, 1.99970089434375149286
74, 19, 3.6842105263157895, 15.9473684210526316, 3.53155396804777610526
77, 3, 1.00000000000000000000, 13.6666666666666667, 1.4028679653679654
78, 7, 1.00000000000000000000, 12.2857142857142857, 1.5951880752300920
79, 3, 1.6666666666666667, 12.3333333333333333, 1.7928571428571429
8, 16, 1.3125000000000000, 13.8125000000000000, 2.40561974789915966875
81, 7, 1.00000000000000000000, 9.5714285714285714, 1.14795918367346938571
86, 4, 1.2500000000000000, 11.0000000000000000, 2.10972222222222222500
87, 17, 1.7058823529411765, 13.8235294117647059, 2.0322693310150058
88, 20, 5.3500000000000000, 14.7500000000000000, 3.33908341250253015000
9, 5, 2.6000000000000000, 12.4000000000000000, 1.7476470588235294
91, 1, 1.00000000000000000000, 16.0000000000000000, 1.12500000000000000000
92, 11, 1.7272727272727273, 13.4545454545454545, 2.2221025186934278
93, 4, 1.00000000000000000000, 18.7500000000000000, 3.4063176406926407
95, 23, 3.3478260869565217, 15.2173913043478261, 3.27867379494617346957
96, 5, 2.6000000000000000, 11.2000000000000000, 1.40636363636363636000
98, 18, 1.9444444444444444, 13.0555555555555556, 1.70633152250799310556
